city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,target
0.92,'Female','Has relevent experience','no_enrollment','Graduate','STEM',2,'10-49','Funded Startup',1,204,0
0.89,'Female','Has relevent experience','no_enrollment','Graduate','STEM',16,'10-49','Pvt Ltd',1,22,0
0.939,'Female','Has relevent experience','no_enrollment','Graduate','STEM',4,'10-49','Pvt Ltd',2,41,0
0.939,'Female','Has relevent experience','no_enrollment','Masters','STEM',17,'10-49','Pvt Ltd',1,14,0
0.698,'Female','Has relevent experience','no_enrollment','Masters','STEM',16,'10-49','Funded Startup',1,22,0
0.893,'Female','Has relevent experience','no_enrollment','Masters','STEM',15,'10-49','Pvt Ltd',1,38,0
0.754,'Female','Has relevent experience','Part time course','Graduate','STEM',5,'10-49','Pvt Ltd',3,49,0
0.92,'Female','Has relevent experience','no_enrollment','Graduate','STEM',4,'10-49','Funded Startup',2,6,0
0.624,'Female','Has relevent experience','no_enrollment','Graduate','STEM',15,'10-49','Funded Startup',2,112,0
0.899,'Female','Has relevent experience','no_enrollment','Graduate','STEM',16,'10-49','Funded Startup',4,144,0
0.855,'Female','Has relevent experience','Part time course','Graduate','STEM',5,'10-49','Early Stage Startup',1,48,0
0.624,'Female','No relevent experience','Full time course','Graduate','STEM',5,'10-49','Funded Startup',1,32,0
0.579,'Female','Has relevent experience','no_enrollment','Graduate','STEM',1,'10-49','Pvt Ltd',1,47,0
0.926,'Female','Has relevent experience','no_enrollment','Graduate','STEM',19,'10-49','Pvt Ltd',4,70,0
0.776,'Female','Has relevent experience','no_enrollment','Graduate','STEM',2,'10-49','Pvt Ltd',1,15,0
0.91,'Female','Has relevent experience','no_enrollment','Graduate','STEM',12,'10-49','Pvt Ltd',1,84,0
0.92,'Female','Has relevent experience','no_enrollment','Graduate','STEM',16,'10-49','Pvt Ltd',1,29,0
0.92,'Female','Has relevent experience','no_enrollment','Graduate','STEM',4,'10-49','Pvt Ltd',1,17,0
0.55,'Female','Has relevent experience','no_enrollment','Graduate','STEM',9,'10-49','Funded Startup',1,23,0
0.91,'Female','Has relevent experience','no_enrollment','Masters','Business Degree',2,'10-49','Pvt Ltd',1,78,0
0.939,'Female','Has relevent experience','no_enrollment','Graduate','STEM',2,'10-49','Pvt Ltd',1,40,0
0.896,'Female','Has relevent experience','Full time course','Graduate','STEM',4,'10-49','Pvt Ltd',1,23,0
0.624,'Female','No relevent experience','Full time course','Masters','STEM',6,'10-49','Pvt Ltd',1,29,0
0.91,'Female','Has relevent experience','no_enrollment','Graduate','STEM',12,'10-49','Pvt Ltd',3,10,0
0.887,'Female','Has relevent experience','no_enrollment','Graduate','STEM',12,'10-49','Pvt Ltd',1,100,0
0.897,'Female','Has relevent experience','no_enrollment','Graduate','STEM',8,'10-49','Early Stage Startup',1,8,0
0.897,'Female','No relevent experience','Part time course','Graduate','STEM',3,'10-49','Pvt Ltd',1,15,0
0.92,'Female','Has relevent experience','no_enrollment','Masters','Humanities',1,'10-49','Funded Startup',1,78,0
0.92,'Female','Has relevent experience','no_enrollment','Graduate','STEM',7,'10-49','Funded Startup',1,135,0
0.92,'Female','Has relevent experience','no_enrollment','Graduate','Arts',1,'10-49','Pvt Ltd',1,107,0
0.926,'Female','Has relevent experience','Part time course','Graduate','STEM',4,'10-49','Funded Startup',2,214,0
0.899,'Female','Has relevent experience','no_enrollment','Graduate','STEM',9,'10-49','Funded Startup',1,41,0
0.92,'Female','Has relevent experience','no_enrollment','Masters','Other',12,'10-49','Pvt Ltd',1,28,0
0.55,'Female','Has relevent experience','no_enrollment','Graduate','STEM',4,'10-49','Pvt Ltd',1,2,0
0.92,'Female','Has relevent experience','no_enrollment','Masters','STEM',9,'10-49','Early Stage Startup',1,16,0
0.92,'Female','Has relevent experience','no_enrollment','Graduate','STEM',9,'10-49','Pvt Ltd',4,39,0
0.802,'Female','Has relevent experience','no_enrollment','Graduate','STEM',11,'10-49','Pvt Ltd',2,112,0
0.926,'Female','No relevent experience','Part time course','Masters','STEM',4,'10-49','Public Sector',3,39,0
0.91,'Female','Has relevent experience','no_enrollment','Masters','STEM',4,'10-49','Funded Startup',2,65,0
0.767,'Female','Has relevent experience','no_enrollment','Masters','STEM',11,'10-49','Early Stage Startup',4,84,0
0.698,'Female','Has relevent experience','no_enrollment','Graduate','Business Degree',4,'10-49','Funded Startup',4,4,0
0.897,'Female','Has relevent experience','no_enrollment','Masters','STEM',10,'10-49','Pvt Ltd',4,180,0
0.855,'Female','No relevent experience','no_enrollment','Graduate','STEM',9,'10-49','Funded Startup',2,94,0
0.926,'Female','No relevent experience','no_enrollment','Masters','Business Degree',4,'10-49','Pvt Ltd',2,53,0
0.896,'Female','Has relevent experience','Full time course','Graduate','STEM',10,'10-49','Funded Startup',1,328,0
